rec_id,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email
R3968,michael,wayne,ware,m,24,12/1/1993,92  McCrae  Street,Dandenong,3175,VIC,03  0121  7278,michael.ware@mail.com.au
R3462,rolanda,lee,love,f,27,5/11/1990,13  Albert  Street,Ascot  Park,5043,SA,08  7970  0847,rolanda7@mail.com.au
R8922,benjarnin,edward,glnnn,m,29,8/7/1988,7  Kimberley  Court,Buderim,4556,QLD,07  6828  0581,benjamin18@yahoo.com
R4329,rogcr,saiquin,creecb,m,47,21/1/1970,60  Namatjira  Drive,Stirling,2611,ACT,02  7164  7014,roger.creech@gmail.com
R8472,virginya,ann,logan,5,53,23/7/1964,55  Rialto  Street,Coorparoo,4151,QLD,07  1313  0557,virginia12@aol.com
R4084,larry,lee,blanco,m,17,18/8/2000,8  Cherry  Street,Pearcedale,3912,VIC,03  5797  4783,blanco8@hotmail.com
R9810,shery,estheah,lynch,6,53,15/12/1964,2  Cuthbert  Place,Burnside,3023,VIC,03  4226  2508,sherry37@mail.com.au
R4236,michelle,edna,fulton,f,35,21/12/1982,2  Scheelite  Crescent,Tennant  Creek,0860,NT,08  2330  3743,fulton51@aol.com
R8918,shannab,natice,wr'lght,7,24,2/5/1993,152  Abuklea  Road,Marsfield,2122,NSW,02  0777  8800,shannan.wright@aol.com
R7412,ralpb,gale,lufgman,6,55,27/11/1962,4  Marshall  Street,Strathpine,4500,QLD,07  1382  0830,luffman.ralph@hotmail.com
R5077,robert,everettw,venanji,m,26,2/6/1991,25  Martins  Road,Salisbury  Downs,5108,SA,08  7638  3657,venanzi85@mail.com
R6504,james,troy,blair,m,18,20/3/1999,13  Lucinda  Street,Carseldine,4034,QLD,07  9599  8359,james.blair@yahoo.com
R7709,haley,davis,bridger,f,20,4/7/1997,Belinda  Court,Munruben,4125,QLD,07  3674  5046,haley36@mail.com
R1744,ida,f,hartman,f,42,2/11/1975,35  Earle  Street,Cremorne,2090,NSW,02  8846  9577,hartman.ida@hotmail.com
R7399,larry,troh,holloway,rn,40,17/8/1977,24  Gascoyne  Street,Launceston  South,7249,TAS,03  2316  8473,larry74@yahoo.com
R7764,cassandra,miller,nelson,f,26,6/12/1991,43  Carinya  Road,Girraween,2145,NSW,02  5704  3029,cassandra.nelson@yahoo.com
R3722,ross,e,triplett,m,31,21/10/1986,13  Mott  Crescent,Katherine,0850,NT,08  9751  6646,triplett.ross@mail.com.au
R7089,miranda,singletary,holland,f,36,12/5/1981,21  Killian  Crescent,Jingili,0810,NT,08  2596  7118,miranda.holland@gmail.com
R9240,mitch4ll,deari,james,4,34,24/9/1983,151  Dumas  Street,Mckellar,2617,ACT,02  5618  4663,james.mitchell@mail.com.au
R4681,pameal,anna,jonesz,f,48,6/2/1969,99  Mileham  Street,Windsor  South,2756,NSW,02  8739  4677,pamela.jones@hotmail.com
R8196,edna,michelle,dunkan,5,40,17/2/1977,48  Reisling  Street,Thornlands,4164,QLD,07  9867  9834,tghlaetsks@gmail.com
R6765,james,ray,jarmula,m,34,13/12/1983,5  Valencia  Road,Carmel,6076,WA,08  0001  4047,brogbakqea@gmail.com
R7372,am6,patficia,heinen,2,40,1/10/1977,9  Weemala  Street,Chevron  Island,4217,QLD,07  8338  4183,kjmntgnibj@mail.com.au
R7053,norma,niconle,stilws,2,31,22/12/1986,2  Coolbunna  Close,Golden  Square,3555,VIC,03  8574  9093,norma38@mail.com
R8509,michael,keith,valentic,m,51,6/1/1966,11  Progress  Avenue,Stirling  North,5710,SA,08  3139  0489,valentic.michael@aol.com
R3700,heather,alethea,hermanson,f,38,31/1/1979,32  Nicholson  Street,Rockhampton,4700,QLD,07  6227  4246,hermanson18@gmail.com
R8753,jasom,antony,blades,1,22,24/4/1995,18  Clift  Street,Mount  Stuart,7000,TAS,03  5782  2714,jason.blades@mail.com
R6020,marquita,lynn,faber,f,33,23/4/1984,4  Kiel  Mountain  Road,Woombye,4559,QLD,07  4310  8457,faber76@yahoo.com
R4369,jamse,alen,flynn,n,43,28/12/1974,4  Torrens  Court,Coombabah,4216,QLD,07  5023  5780,flynn94@mail.com.au
R7136,kristi,benson,mcgowen,m,20,22/5/1997,129  Locke  Street,Warwick,4370,QLD,07  8831  9369,mcgowen9@mail.com.au
R2334,rjchard,lee,harward,1,23,18/9/1994,Lord  Howe  North  Drive,Green  Valley,2168,NSW,02  0652  8119,phaprpspnq@yahoo.com
R2506,marcia,jeanette,nicholson,f,25,16/3/1992,48  Walsingham  Crescent,Kurunjang,3337,VIC,03  9698  2610,nicholson50@mail.com
