rec_id,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email
R35078,eric,thor,bass,m,19,6/9/1998,78  Marine  Parade,Miami,4220,QLD,07  3210  3434,bass.eric@mail.com
R71313,ram,franklin,young,m,32,10/3/1985,342  Arden  Street,Coogee,2034,NSW,02  6083  6743,cbamattjql@aol.com
R45920,damon,lee,ayers,m,32,14/9/1985,6  Sixteenth  Avenue,Palm  Beach,4221,QLD,07  5314  8709,damon66@mail.com
R32530,william,joe,foley,m,23,13/7/1994,143  Centenary  Drive,Middlemount,4746,QLD,07  1084  7394,william.foley@aol.com
R13117,sybil,l,nelson,f,45,12/1/1972,8  Walsh  Court,Leongatha,3953,VIC,03  4424  6039,nelson5@yahoo.com
R85980,carolyn,ruth,martin,f,42,22/9/1975,78  Silver  Street,St  Peters,2044,NSW,02  4428  4525,martin.carolyn@mail.com
R93363,joe,r,fellers,m,32,9/1/1985,50  Trappers  Way,Clareville,2107,NSW,02  9668  8343,fellers.joe@mail.com
R74161,robert,raekwon,long,m,29,26/9/1988,1313  Pascoe  Vale  Road,Broadmeadows,3047,VIC,03  1020  3305,long60@gmail.com
R47630,michael,murty,hayes,m,24,1/7/1993,36  Henshall  Road,Strathmore,3041,VIC,03  9711  5642,lcfbtqjmnn@mail.com.au
R45641,ellen,elaine,wirtz,f,25,27/6/1992,216  West  Street,Toowoomba  South,4350,QLD,07  2082  8006,wirtz.ellen@gmail.com
R76920,sandy,eugene,searcy,m,29,12/2/1988,10  Ferguson  Court,Ballarat,3350,VIC,03  2721  7360,sandy69@mail.com
R39239,handley,maude,neese,f,47,29/6/1970,51  Watts  Road,Denistone  East,2112,NSW,02  6200  1269,neese.handley@gmail.com
R37989,jessica,nicole,simpson,f,39,25/11/1978,31  Heron  Crescent,Katherine,0850,NT,08  0537  1781,simpson69@hotmail.com
R52037,sterling,w,jethro,m,20,24/5/1997,4  Trinity  Place,Kirwan,4817,QLD,07  3214  9649,sterling15@mail.com
R32286,clifton,lynn,brown,m,23,23/6/1994,36  Pera  Circuit,Nhulunbuy,0880,NT,08  2827  4897,dhahclkbir@mail.com.au
R69281,john,charles,foster,m,35,30/7/1982,559  Cabramatta  Road,Cabramatta,2166,NSW,02  7182  5406,john.foster@aol.com
R61371,betty,c,selders,f,22,18/7/1995,18  Mottram  Way,Morley,6062,WA,08  9820  5383,betty39@hotmail.com
R15012,stephanie,beatrice,rouse,f,28,23/4/1989,11  Erskine  Street,Goodwood,5034,SA,08  7309  7965,rouse55@mail.com.au
R20868,johnnie,walls,hayes,f,39,8/2/1978,5  Newbury  Court,Wantirna  South,3152,VIC,03  2234  2938,hayes78@aol.com
R89545,hattie,bryant,russ,f,20,15/8/1997,14  Suttor  Place,Baulkham  Hills,2153,NSW,02  3218  9600,hattie.russ@yahoo.com
R70329,steven,tran,danner,m,26,21/8/1991,33  Cowley  Crescent,Prospect,2148,NSW,02  5693  5826,jcrilqhjqg@aol.com
R16965,andreal,david,pardon,m,30,14/12/1987,35  Germaine  Street,Morphett  Vale,5162,SA,08  7950  7699,pardon.andreal@gmail.com
R44697,catherine,raymer,williams,f,56,8/12/1961,82  Glenbrook  Road,Blaxland,2774,NSW,02  3984  7697,williams60@mail.com
R84632,todd,gayle,brown,m,22,18/2/1995,185  Gale  Road,Maroubra,2035,NSW,02  8776  9397,girdqdeaol@mail.com
R78208,linwood,thomas,davenport,m,49,13/6/1968,1  Jasper  Way,Edgewater,6027,WA,08  7345  2212,linwood.davenport@mail.com
R38067,freddie,madho,leggett,m,27,26/6/1990,30  Glenrowan  Road,Woodville,5011,SA,08  5582  0888,leggett.freddie@mail.com
R70244,robin,elizabeth,james,f,54,18/12/1963,5  Calder  Crescent,Holder,2611,ACT,02  6926  5863,robin100@yahoo.com
R16557,david,mohammed,talton,m,50,6/10/1967,40  Catherine  Street,Clapham,5062,SA,08  7382  2184,david78@aol.com
R23393,robin,hocutt,allen,f,34,3/11/1983,106  Clive  Steele  Avenue,Monash,2904,ACT,02  2543  1310,robin.allen@aol.com
R64963,kisha,j,apperson,m,32,6/3/1985,31  Mathewson  Street,Hillsdale,2036,NSW,02  0630  1203,kisha12@mail.com
R48453,mack,edward,bowen,m,31,10/1/1986,46  Woorama  Road,The  Gap,4061,QLD,07  4510  2362,mack3@aol.com
R78205,glenn,marquis,buchanan,m,47,28/4/1970,107  Tuncurry  Road,Koorainghat,2430,NSW,02  8328  2454,buchanan73@hotmail.com
R68426,doris,fortenbury,hawkins,f,45,10/3/1972,12  Excelsea  Court,Rosebery,0832,NT,08  4756  3516,hawkins31@mail.com.au
R43006,crystal,helen,courtney,f,28,13/1/1989,16  Charonia  Road,Mullaloo,6027,WA,08  2322  0861,courtney.crystal@mail.com.au
R36437,ashley,lawing,ruffin,f,24,13/1/1993,35  Brett  Street,Georgetown,2298,NSW,02  1643  0073,ruffin48@mail.com.au
R62829,leslie,rochelle,webster,f,25,9/6/1992,10  Burden  Place,Millner,0810,NT,08  9591  9300,webster.leslie@mail.com.au
R14004,jeffrey,ray,watford,m,41,20/7/1976,6  Endeavour  Drive,Torquay,3228,VIC,03  8865  5087,jeffrey.watford@mail.com.au
R81657,suzanne,mae,aune,f,31,21/8/1986,660  Kiewa  Street,Albury,2640,NSW,02  1422  8287,bmkjnrojln@hotmail.com
R27856,tina,elizabeth,sharpe,f,23,5/12/1994,64  Ringrose  Avenue,Wentworthville,2145,NSW,02  9097  0438,ktectaqgfo@yahoo.com
R51842,renee,ashley,hartley,f,22,9/7/1995,115  Endsleigh  Avenue,Orange,2800,NSW,02  5633  7129,hartley.renee@yahoo.com
R12980,deborah,jean,allen,f,19,13/1/1998,8  Mawson  Street,Bluewater,4818,QLD,07  5658  7904,deborah.allen@aol.com
R65614,jason,p,johnson,m,58,5/12/1959,58  Emsworth  Street,Wynnum,4178,QLD,07  5311  2043,johnson43@mail.com.au
R47298,glen,t,mcneely,m,39,7/6/1978,Kanimbla,Redesdale,3444,VIC,03  9913  8307,itnabqsdqh@yahoo.com
R93215,heather,dee,belzer,f,38,9/11/1979,4  Fryer  Court,Driver,0830,NT,08  4415  3439,belzer32@mail.com
R12959,chevonne,kaygrimes,jackson,f,46,10/11/1971,64  Garrett  Street,Murarrie,4172,QLD,07  0469  8693,chevonne95@mail.com.au
R10954,diana,louise,luhrs,f,27,29/10/1990,45  Coranto  Street,Abbotsford,2046,NSW,02  6112  5384,luhrs.diana@mail.com
R38924,sheri,mone,nivens,f,35,28/10/1982,22  Grant  Street,St  Arnaud,3478,VIC,03  7778  8042,ogrstaqaqr@aol.com
R80065,barbara,k,williams,f,40,9/2/1977,28  Gothenburg  Crescent,Stuart  Park,0820,NT,08  7950  9017,williams.barbara@gmail.com
R84880,christina,nisa,wilken,f,52,3/6/1965,3  Balarang  Place,Bangor,2234,NSW,02  0469  6014,christina.wilken@gmail.com
