rec_id,first_name,middle_name,last_name,gender,current_age,birth_date,street_address,suburb,postcode,state,phone,email
R44934,doris,monet,hendrix,f,34,15/1/1983,683  Mount  Dandenong  Road,Kilsyth,3137,VIC,03  6623  7657,doris.hendrix@gmail.com
R78033,eric,thor,bass,m,19,6/9/1998,78  Marine  Parade,Miami,4220,QLD,07  3210  3434,bass.eric@mail.com
R13144,damon,lee,ayers,m,32,14/9/1985,6  Sixteenth  Avenue,Palm  Beach,4221,QLD,07  5314  8709,damon66@mail.com
R67215,kimberly,lynnehallam,finney,f,39,18/6/1978,13  Jamison  Street,West  Launceston,7250,TAS,03  8921  9009,finney.kimberly@gmail.com
R14362,sybil,l,nelson,f,45,12/1/1972,8  Walsh  Court,Leongatha,3953,VIC,03  4424  6039,nelson5@yahoo.com
R71160,carolyn,ruth,martin,f,42,22/9/1975,78  Silver  Street,St  Peters,2044,NSW,02  4428  4525,martin.carolyn@mail.com
R21947,robert,raekwon,long,m,29,26/9/1988,1313  Pascoe  Vale  Road,Broadmeadows,3047,VIC,03  1020  3305,long60@gmail.com
R97831,michael,murty,hayes,m,24,1/7/1993,36  Henshall  Road,Strathmore,3041,VIC,03  9711  5642,lcfbtqjmnn@mail.com.au
R57373,wade,lovwell,rougier,m,32,2/11/1985,195  Wentworth  Avenue,Wentworthville,2145,NSW,02  1154  4705,rougier89@aol.com
R65574,cydnee,amandakay,simpson,f,24,18/12/1993,14  Western  Avenue,Chermside,4032,QLD,07  1183  9338,cydnee93@aol.com
R26859,kendra,clarice,warwick,f,28,5/2/1989,37  Myrtle  Street,Grange,4051,QLD,07  7870  0832,kendra.warwick@aol.com
R10080,bijal,jones,rappaport,f,32,2/1/1985,26  Seymour  Grove,Brighton,3186,VIC,03  6581  6387,rappaport.bijal@aol.com
R51844,robert,milton,wrenn,m,49,20/11/1968,42  Durah  Street,Chinchilla,4413,QLD,07  3000  6157,wrenn.robert@aol.com
R27459,robert,morris,thomas,m,25,12/5/1992,46  Lawrence  Hargrave  Road,Warwick  Farm,2170,NSW,02  5489  6663,gqpkhkphis@hotmail.com
R57982,jacqueline,j,boyce,f,24,4/8/1993,16  Goodwin  Street,Kangaroo  Point,4169,QLD,07  2611  7042,jacqueline.boyce@yahoo.com
R89104,clifton,lynn,brown,m,23,23/6/1994,36  Pera  Circuit,Nhulunbuy,0880,NT,08  2827  4897,dhahclkbir@mail.com.au
R97274,mark,andres,patterson,m,36,31/10/1981,6  Gowrie  Crescent,Westmead,2145,NSW,02  1650  4686,mark52@mail.com.au
R29836,john,charles,foster,m,35,30/7/1982,559  Cabramatta  Road,Cabramatta,2166,NSW,02  7182  5406,john.foster@aol.com
R28255,stephanie,beatrice,rouse,f,28,23/4/1989,11  Erskine  Street,Goodwood,5034,SA,08  7309  7965,rouse55@mail.com.au
R44863,leon,cinchaz,narayan,m,27,26/6/1990,2  Mueller  Road,Karama,0812,NT,08  0079  3810,leon.narayan@yahoo.com
R50393,charles,delane,yaeger,m,31,23/2/1986,72  Torres  Crescent,Whalan,2770,NSW,02  6649  4935,qadgpeboqk@mail.com
R41109,dudley,m,cooper,m,35,2/4/1982,111  Brittain  Street,Ballarat,3350,VIC,03  6691  6232,dudley.cooper@hotmail.com
R60791,johnnie,walls,hayes,f,39,8/2/1978,5  Newbury  Court,Wantirna  South,3152,VIC,03  2234  2938,hayes78@aol.com
R62043,phillip,perryniels,coates,m,20,24/4/1997,12  Jamieson  Park  Drive,Kangaroo  Flat,3555,VIC,03  9790  4055,coates.phillip@mail.com
R41807,hattie,bryant,russ,f,20,15/8/1997,14  Suttor  Place,Baulkham  Hills,2153,NSW,02  3218  9600,hattie.russ@yahoo.com
R58666,steven,tran,danner,m,26,21/8/1991,33  Cowley  Crescent,Prospect,2148,NSW,02  5693  5826,jcrilqhjqg@aol.com
R19101,catherine,raymer,williams,f,56,8/12/1961,82  Glenbrook  Road,Blaxland,2774,NSW,02  3984  7697,williams60@mail.com
R94294,william,riddick,farley,m,18,25/7/1999,3  Lithgow  Terrace,Geranium,5301,SA,08  0439  5726,william59@mail.com
R72653,rwanda,l,seawell,f,21,1/2/1996,17  Kanbara  Street,Flinders  Park,5025,SA,08  5322  1051,seawell.rwanda@mail.com
R62913,linda,scannell,kemper,m,22,14/5/1995,64  Campbell  Street,Sans  Souci,2219,NSW,02  4765  7490,linda.kemper@gmail.com
R19356,robert,pearce,bustamante,m,39,30/10/1978,29  Prospect  Road,Summer  Hill,2130,NSW,02  8082  5981,robert73@mail.com
R30191,ryan,lee,reed,m,34,15/2/1983,14  Goulburn  Street,Leanyer,0812,NT,08  1783  4818,ryan59@aol.com
R43638,glenn,marquis,buchanan,m,47,28/4/1970,107  Tuncurry  Road,Koorainghat,2430,NSW,02  8328  2454,buchanan73@hotmail.com
R92910,crystal,helen,courtney,f,28,13/1/1989,16  Charonia  Road,Mullaloo,6027,WA,08  2322  0861,courtney.crystal@mail.com.au
R22591,paul,c,williamson,m,51,29/7/1966,3  Britannia  Road,Castle  Hill,2154,NSW,02  3226  7446,paul40@mail.com.au
R42173,ashley,lawing,ruffin,f,24,13/1/1993,35  Brett  Street,Georgetown,2298,NSW,02  1643  0073,ruffin48@mail.com.au
R78141,leslie,rochelle,webster,f,25,9/6/1992,10  Burden  Place,Millner,0810,NT,08  9591  9300,webster.leslie@mail.com.au
R55833,suzanne,mae,aune,f,31,21/8/1986,660  Kiewa  Street,Albury,2640,NSW,02  1422  8287,bmkjnrojln@hotmail.com
R33404,tina,elizabeth,sharpe,f,23,5/12/1994,64  Ringrose  Avenue,Wentworthville,2145,NSW,02  9097  0438,ktectaqgfo@yahoo.com
